theta,time,x,y
0.0,1741188019.372652,0.0,0.0
0.0,1741188019.3842902,0.0,0.0
0.0,1741188019.3926768,0.0,0.0
0.0,1741188019.4030654,0.0,0.0
0.0,1741188019.4030654,0.0,0.0
0.0,1741188019.4406917,0.0,0.0
0.0,1741188019.4406917,0.0,0.0
0.0,1741188019.4406917,0.0,0.0
0.0,1741188019.481661,0.0,0.0
0.0,1741188019.4918084,0.0,0.0
0.0,1741188019.5069027,0.0,0.0
0.0,1741188019.511676,0.0,0.0
0.0,1741188019.521635,0.0,0.0
0.0,1741188019.5317366,0.0,0.0
0.0,1741188019.5537226,0.0,0.0
0.0,1741188019.5592687,0.0,0.0
0.0,1741188019.5639138,0.0,0.0
0.0,1741188019.5718074,0.0,0.0
0.0,1741188019.5718074,0.0,0.0
0.0,1741188019.6016674,0.0,0.0
0.0,1741188019.6117132,0.0,0.0
0.0,1741188019.6226428,0.0,0.0
0.0,1741188019.6319854,0.0,0.0
0.0,1741188019.6319854,0.0,0.0
0.0,1741188019.6624503,0.0,0.0
0.0,1741188019.671817,0.0,0.0
0.0,1741188019.6821008,0.0,0.0
0.0,1741188019.6917179,0.0,0.0
0.0,1741188019.7016773,0.0,0.0
0.0,1741188019.7118125,0.0,0.0
0.0,1741188019.7216089,0.0,0.0
0.0,1741188019.7349422,0.0,0.0
0.0,1741188019.7416725,0.0,0.0
0.0,1741188019.7516584,0.0,0.0
0.0,1741188019.76272,0.0,0.0
0.0,1741188019.7756715,0.0,0.0
0.0,1741188019.7817001,0.0,0.0
0.0,1741188019.7916145,0.0,0.0
0.0,1741188019.8073618,0.0,0.0
0.0,1741188019.8117015,0.0,0.0
0.0,1741188019.8242738,0.0,0.0
0.0,1741188019.8319979,0.0,0.0
0.0,1741188019.8429184,0.0,0.0
0.0,1741188019.8521214,0.0,0.0
0.0,1741188019.8616605,0.0,0.0
0.0,1741188019.871781,0.0,0.0
0.0,1741188019.8816314,0.0,0.0
0.0,1741188019.892742,0.0,0.0
0.0,1741188019.9059827,0.0,0.0
0.0,1741188019.9197137,0.0,0.0
0.0,1741188019.9197137,0.0,0.0
0.0,1741188019.9197137,0.0,0.0
0.0,1741188019.9616647,0.0,0.0
0.0,1741188019.9723792,0.0,0.0
0.0,1741188019.982219,0.0,0.0
0.0,1741188019.9916766,0.0,0.0
0.0,1741188020.0016391,0.0,0.0
0.0,1741188020.011618,0.0,0.0
0.0,1741188020.0216103,0.0,0.0
0.0,1741188020.031685,0.0,0.0
0.0,1741188020.041731,0.0,0.0
0.0,1741188020.0516279,0.0,0.0
0.0,1741188020.061731,0.0,0.0
0.0,1741188020.071654,0.0,0.0
0.0,1741188020.081628,0.0,0.0
0.0,1741188020.091843,0.0,0.0
0.0,1741188020.1016405,0.0,0.0
0.0,1741188020.1150835,0.0,0.0
0.0,1741188020.1216245,0.0,0.0
0.0,1741188020.1331084,0.0,0.0
0.0,1741188020.1421454,0.0,0.0
0.0,1741188020.1530304,0.0,0.0
0.0,1741188020.1616898,0.0,0.0
0.0,1741188020.1762586,0.0,0.0
0.0,1741188020.187005,0.0,0.0
0.0,1741188020.191647,0.0,0.0
0.0,1741188020.2016554,0.0,0.0
0.0,1741188020.2119951,0.0,0.0
0.0,1741188020.2216864,0.0,0.0
0.0,1741188020.2323885,0.0,0.0
0.0,1741188020.241631,0.0,0.0
0.0,1741188020.2516336,0.0,0.0
0.0,1741188020.2619545,0.0,0.0
0.0,1741188020.2724707,0.0,0.0
0.0,1741188020.2816958,0.0,0.0
0.0,1741188020.2929065,0.0,0.0
0.0,1741188020.3021348,0.0,0.0
0.0,1741188020.3116755,0.0,0.0
0.0,1741188020.3216777,0.0,0.0
0.0,1741188020.3329413,0.0,0.0
0.0,1741188020.3456604,0.0,0.0
0.0,1741188020.3586729,0.0,0.0
0.0,1741188020.3628812,0.0,0.0
0.0,1741188020.371658,0.0,0.0
0.0,1741188020.3887982,0.0,0.0
0.0,1741188020.3922772,0.0,0.0
0.0,1741188020.402414,0.0,0.0
0.0,1741188020.4133782,0.0,0.0
0.0,1741188020.4225242,0.0,0.0
0.0,1741188020.4335198,0.0,0.0
0.0,1741188020.4454648,0.0,0.0
0.0,1741188020.4550989,0.0,0.0
0.0,1741188020.4637578,0.0,0.0
0.0,1741188020.472195,0.0,0.0
0.0,1741188020.4858842,0.0,0.0
0.0,1741188020.4858842,0.0,0.0
0.0,1741188020.5116794,0.0,0.0
0.0,1741188020.522254,0.0,0.0
0.0,1741188020.531716,0.0,0.0
0.0,1741188020.5500522,0.0,0.0
0.0,1741188020.5500522,0.0,0.0
0.0,1741188020.5761058,0.0,0.0
0.0,1741188020.5891106,0.0,0.0
0.0,1741188020.5947828,0.0,0.0
0.0,1741188020.605558,0.0,0.0
0.0,1741188020.6166773,0.0,0.0
0.0,1741188020.6248736,0.0,0.0
0.0,1741188020.6387382,0.0,0.0
0.0,1741188020.6458237,0.0,0.0
0.0,1741188020.6553872,0.0,0.0
0.0,1741188020.6695728,0.0,0.0
0.0,1741188020.6747553,0.0,0.0
0.0,1741188020.685017,0.0,0.0
0.0,1741188020.6947515,0.0,0.0
0.0,1741188020.7054474,0.0,0.0
0.0,1741188020.7147782,0.0,0.0
0.0,1741188020.7247446,0.0,0.0
0.0,1741188020.73491,0.0,0.0
0.0,1741188020.7479222,0.0,0.0
0.0,1741188020.7479222,0.0,0.0
0.0,1741188020.7824256,0.0,0.0
0.0,1741188020.7918189,0.0,0.0
0.0,1741188020.8088384,0.0,0.0
0.0,1741188020.812362,0.0,0.0
0.0,1741188020.812362,0.0,0.0
0.0,1741188020.8442695,0.0,0.0
0.0,1741188020.85184,0.0,0.0
0.0,1741188020.861679,0.0,0.0
0.0,1741188020.8716779,0.0,0.0
0.0,1741188020.8816452,0.0,0.0
0.0,1741188020.891684,0.0,0.0
0.0,1741188020.9018521,0.0,0.0
0.0,1741188020.91255,0.0,0.0
0.0,1741188020.9216704,0.0,0.0
0.0,1741188020.9320223,0.0,0.0
0.0,1741188020.9434762,0.0,0.0
0.0,1741188020.9527771,0.0,0.0
0.0,1741188020.9616985,0.0,0.0
0.0,1741188020.971748,0.0,0.0
0.0,1741188020.981679,0.0,0.0
0.0,1741188020.991855,0.0,0.0
0.0,1741188021.0060952,0.0,0.0
0.0,1741188021.0138147,0.0,0.0
0.0,1741188021.0216863,0.0,0.0
0.0,1741188021.0319538,0.0,0.0
0.0,1741188021.0417004,0.0,0.0
0.0,1741188021.0517097,0.0,0.0
0.0,1741188021.0620108,0.0,0.0
0.0,1741188021.0716841,0.0,0.0
0.0,1741188021.083763,0.0,0.0
0.0,1741188021.0917063,0.0,0.0
0.0,1741188021.1017375,0.0,0.0
0.0,1741188021.1135907,0.0,0.0
0.0,1741188021.1217856,0.0,0.0
0.0,1741188021.1349268,0.0,0.0
0.0,1741188021.1417117,0.0,0.0
0.0,1741188021.1522954,0.0,0.0
0.0,1741188021.1618786,0.0,0.0
0.0,1741188021.1718209,0.0,0.0
0.0,1741188021.1826608,0.0,0.0
0.0,1741188021.1937435,0.0,0.0
0.0,1741188021.2022984,0.0,0.0
0.0,1741188021.21176,0.0,0.0
0.0,1741188021.2227058,0.0,0.0
0.0,1741188021.2326963,0.0,0.0
0.0,1741188021.2428608,0.0,0.0
0.0,1741188021.2578073,0.0,0.0
0.0,1741188021.2636862,0.0,0.0
0.0,1741188021.2722495,0.0,0.0
0.0,1741188021.2825665,0.0,0.0
0.0,1741188021.2825665,0.0,0.0
0.0,1741188021.31192,0.0,0.0
0.0,1741188021.322618,0.0,0.0
0.0,1741188021.3324716,0.0,0.0
0.0,1741188021.3324716,0.0,0.0
0.0,1741188021.3769097,0.0,0.0
0.0,1741188021.386097,0.0,0.0
0.0,1741188021.3963208,0.0,0.0
0.0,1741188021.4103878,0.0,0.0
0.0,1741188021.4194386,0.0,0.0
0.0,1741188021.4260929,0.0,0.0
0.0,1741188021.4260929,0.0,0.0
0.0,1741188021.4560957,0.0,0.0
0.0,1741188021.4621804,0.0,0.0
0.0,1741188021.4730213,0.0,0.0
0.0,1741188021.4821045,0.0,0.0
0.0,1741188021.4938335,0.0,0.0
0.0,1741188021.50368,0.0,0.0
0.0,1741188021.5117257,0.0,0.0
0.0,1741188021.5217276,0.0,0.0
0.0,1741188021.5217276,0.0,0.0
0.0,1741188021.5569232,0.0,0.0
0.0,1741188021.5709288,0.0,0.0
0.0,1741188021.5808349,0.0,0.0
0.0,1741188021.5808349,0.0,0.0
0.0,1741188021.6018047,0.0,0.0
0.0,1741188021.6121914,0.0,0.0
0.0,1741188021.6223009,0.0,0.0
0.0,1741188021.631711,0.0,0.0
0.0,1741188021.64637,0.0,0.0
0.0,1741188021.6532812,0.0,0.0
0.0,1741188021.6625333,0.0,0.0
0.0,1741188021.671814,0.0,0.0
0.0,1741188021.6817832,0.0,0.0
0.0,1741188021.6962109,0.0,0.0
0.0,1741188021.7018976,0.0,0.0
0.0,1741188021.7127624,0.0,0.0
0.0,1741188021.7217333,0.0,0.0
0.0,1741188021.7411826,0.0,0.0
0.0,1741188021.7492893,0.0,0.0
0.0,1741188021.759265,0.0,0.0
0.0,1741188021.7621057,0.0,0.0
0.0,1741188021.7718666,0.0,0.0
0.0,1741188021.7822428,0.0,0.0
0.0,1741188021.7932978,0.0,0.0
0.0,1741188021.801711,0.0,0.0
0.0,1741188021.8119526,0.0,0.0
0.0,1741188021.8244724,0.0,0.0
0.0,1741188021.8317723,0.0,0.0
0.0,1741188021.8420076,0.0,0.0
0.0,1741188021.8517733,0.0,0.0
0.0,1741188021.8619716,0.0,0.0
0.0,1741188021.8717744,0.0,0.0
0.0,1741188021.8916264,0.0,0.0
0.0,1741188021.8958466,0.0,0.0
0.0,1741188021.904506,0.0,0.0
0.0,1741188021.911977,0.0,0.0
0.0,1741188021.9220576,0.0,0.0
0.0,1741188021.9317343,0.0,0.0
0.0,1741188021.9552178,0.0,0.0
0.0,1741188021.9579475,0.0,0.0
0.0,1741188021.962181,0.0,0.0
0.0,1741188021.9717405,0.0,0.0
0.0,1741188021.9818997,0.0,0.0
0.0,1741188021.9964411,0.0,0.0
0.0,1741188022.0024543,0.0,0.0
0.0,1741188022.0123208,0.0,0.0
0.0,1741188022.021752,0.0,0.0
0.0,1741188022.0346448,0.0,0.0
0.0,1741188022.0443652,0.0,0.0
0.0,1741188022.0521948,0.0,0.0
0.0,1741188022.0618017,0.0,0.0
0.0,1741188022.0733736,0.0,0.0
0.0,1741188022.0817482,0.0,0.0
0.0,1741188022.0921466,0.0,0.0
0.0,1741188022.1019766,0.0,0.0
0.0,1741188022.1118648,0.0,0.0
0.0,1741188022.1220486,0.0,0.0
0.0,1741188022.1350486,0.0,0.0
0.0,1741188022.1432104,0.0,0.0
0.0,1741188022.151813,0.0,0.0
0.0,1741188022.1618729,0.0,0.0
0.0,1741188022.1791315,0.0,0.0
0.0,1741188022.1817222,0.0,0.0
0.0,1741188022.1921132,0.0,0.0
0.0,1741188022.2021635,0.0,0.0
0.0,1741188022.2118523,0.0,0.0
0.0,1741188022.2217567,0.0,0.0
0.0,1741188022.2358358,0.0,0.0
0.0,1741188022.2418542,0.0,0.0
0.0,1741188022.2517865,0.0,0.0
0.0,1741188022.2625508,0.0,0.0
0.0,1741188022.2718868,0.0,0.0
0.0,1741188022.2817695,0.0,0.0
0.0,1741188022.2921944,0.0,0.0
0.0,1741188022.3022087,0.0,0.0
0.0,1741188022.3117797,0.0,0.0
0.0,1741188022.3217978,0.0,0.0
0.0,1741188022.3319905,0.0,0.0
0.0,1741188022.3418882,0.0,0.0
0.0,1741188022.351958,0.0,0.0
0.0,1741188022.3617868,0.0,0.0
0.0,1741188022.3717551,0.0,0.0
0.0,1741188022.3862295,0.0,0.0
0.0,1741188022.3917558,0.0,0.0
0.0,1741188022.4018419,0.0,0.0
0.0,1741188022.4141252,0.0,0.0
0.0,1741188022.4217627,0.0,0.0
0.0,1741188022.4318426,0.0,0.0
0.0,1741188022.4418294,0.0,0.0
0.0,1741188022.451757,0.0,0.0
0.0,1741188022.4618473,0.0,0.0
0.0,1741188022.4717875,0.0,0.0
0.0,1741188022.4818022,0.0,0.0
0.0,1741188022.4917605,0.0,0.0
0.0,1741188022.5017622,0.0,0.0
0.0,1741188022.511822,0.0,0.0
